ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2025-09-18,119.98,127.49,116.35,122.15,117.39,4.76,4.0549,1931567.78,23495279.107,127.49,88.19,107.84,39.3,36.44287833827893,False,False
688981.SH,2025-09-19,123.0,127.4,120.11,121.34,122.15,-0.81,-0.6631,1449106.23,17943778.048,127.49,88.19,107.84,39.3,36.44287833827893,False,False
688981.SH,2025-09-22,120.54,129.83,119.05,128.92,121.34,7.58,6.2469,1588281.47,19858613.711,129.83,88.19,109.01,41.640000000000015,38.19833042840108,False,False
688981.SH,2025-09-23,127.64,129.33,122.63,128.51,128.92,-0.41,-0.318,1441273.53,18120121.818,129.83,88.19,109.01,41.640000000000015,38.19833042840108,False,False
688981.SH,2025-09-24,126.88,137.98,126.23,134.98,128.51,6.47,5.0346,1460947.53,19497523.266,137.98,88.19,113.085,49.78999999999999,44.02882787283901,False,False
688981.SH,2025-09-25,133.0,137.8,132.31,134.11,134.98,-0.87,-0.6445,1032583.21,13953307.668,137.98,90.8,114.38999999999999,47.17999999999999,41.244864061543836,False,False
688981.SH,2025-09-26,132.71,135.95,131.2,132.27,134.11,-1.84,-1.372,912445.19,12181639.386,137.98,92.42,115.19999999999999,45.55999999999999,39.54861111111111,False,False
688981.SH,2025-09-29,131.0,136.02,129.16,136.02,132.27,3.75,2.8351,1027207.23,13627566.349,137.98,99.98,118.97999999999999,37.999999999999986,31.93814086401075,False,False
688981.SH,2025-09-30,138.5,142.0,136.6,140.13,136.02,4.11,3.0216,986229.0,13794113.059,142.0,99.98,120.99000000000001,42.019999999999996,34.73014298702372,False,False
688981.SH,2025-10-09,144.0,153.0,137.0,138.91,140.13,-1.22,-0.8706,1662841.1,24249284.345,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-10,134.87,134.94,127.17,127.95,138.91,-10.96,-7.89,1617420.76,21074152.02,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-13,126.0,136.48,126.0,136.47,127.95,8.52,6.6589,1402994.86,18642587.057,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-14,136.96,137.8,125.8,127.2,136.47,-9.27,-6.7927,1321004.03,17321652.001,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-15,127.18,129.73,124.6,129.56,127.2,2.36,1.8553,807987.26,10284318.328,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-16,127.8,130.28,126.6,127.3,129.56,-2.26,-1.7444,612310.62,7841134.057,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-17,126.85,127.32,120.87,121.98,127.3,-5.32,-4.1791,820528.98,10097285.54,153.0,107.5,130.25,45.5,34.93282149712092,False,False
688981.SH,2025-10-20,124.1,125.18,121.69,122.63,121.98,0.65,0.5329,571239.35,7060333.63,153.0,107.5,130.25,45.5,34.93282149712092,False,False
688981.SH,2025-10-21,123.8,127.85,122.61,127.19,122.63,4.56,3.7185,784150.88,9888217.346,153.0,108.09,130.54500000000002,44.91,34.40193036883832,False,False
