total_trades,total_pnl,win_rate,avg_win,avg_loss,profit_factor,max_win,max_loss,max_dd,avg_hold,max_consecutive_loss,win_count,lose_count,stock,entry_period,stop_n,exit_period,data_days
25,4958.999999999999,0.6,491.53333333333325,241.40000000000003,2.0361778514222584,1645.0000000000002,-1010.0000000000009,-0.0012546739092552126,9.2,2,15,10,中芯港股(00981),10,2.0,5,640
18,4641.333573253988,0.5,840.1111111111111,324.4073807495568,2.589679399926103,2365.0,-1010.0000000000009,-0.0012536099320058231,16.77777777777778,2,9,9,中芯港股(00981),10,2.0,10,640
12,6133.676325222023,0.5833333333333334,1216.857142857143,476.8647349555954,2.5517868142848807,2729.9999999999995,-1010.0000000000009,-0.001675658744865846,29.75,2,7,5,中芯港股(00981),10,2.0,15,640
25,4958.999999999999,0.6,491.53333333333325,241.40000000000003,2.0361778514222584,1645.0000000000002,-1010.0000000000009,-0.0012546739092552126,9.2,2,15,10,中芯港股(00981),10,2.5,5,640
18,4257.5943562604,0.5,840.1111111111111,367.0450715266222,2.2888499976771293,2365.0,-1140.911375275161,-0.001384205583392791,17.11111111111111,2,9,9,中芯港股(00981),10,2.5,10,640
12,5762.801935725221,0.5833333333333334,1216.857142857143,551.0396128549559,2.208293404810886,2729.9999999999995,-1140.911375275161,-0.0019182540956298553,29.916666666666668,2,7,5,中芯港股(00981),10,2.5,15,640
25,4958.999999999999,0.6,491.53333333333325,241.40000000000003,2.0361778514222584,1645.0000000000002,-1010.0000000000009,-0.0012546739092552126,9.2,2,15,10,中芯港股(00981),10,3.0,5,640
18,4468.2759270711,0.5,840.1111111111111,343.636008103211,2.4447703130656318,2365.0,-1125.0,-0.001368105737690369,17.11111111111111,2,9,9,中芯港股(00981),10,3.0,10,640
12,5799.0,0.5833333333333334,1216.857142857143,543.8000000000001,2.237692428939211,2729.9999999999995,-1415.0000000000005,-0.002078268176145658,30.916666666666668,2,7,5,中芯港股(00981),10,3.0,15,640
17,5459.01191919753,0.7647058823529411,519.230769230769,322.74702020061716,1.6087856331191503,1645.0000000000002,-700.0,-0.0008148825280113421,10.470588235294118,2,13,4,中芯港股(00981),20,1.5,5,640
11,6037.999999999998,0.7272727272727273,900.4999999999999,388.6666666666665,2.316895368782162,2365.0,-700.0,-0.0011219566924716706,22.363636363636363,2,8,3,中芯港股(00981),20,1.5,10,640
7,8099.999999999999,1.0,1157.142857142857,0.0,inf,2699.999999999999,0.0,0.0,43.142857142857146,0,7,0,中芯港股(00981),20,1.5,15,640
17,5765.0,0.7647058823529411,519.230769230769,246.24999999999963,2.10855134713003,1645.0000000000002,-700.0,-0.0008146348151076998,10.529411764705882,2,13,4,中芯港股(00981),20,2.0,5,640
11,6037.999999999998,0.7272727272727273,900.4999999999999,388.6666666666665,2.316895368782162,2365.0,-700.0,-0.0011219566924716706,22.363636363636363,2,8,3,中芯港股(00981),20,2.0,10,640
7,8099.999999999999,1.0,1157.142857142857,0.0,inf,2699.999999999999,0.0,0.0,43.142857142857146,0,7,0,中芯港股(00981),20,2.0,15,640
17,5765.0,0.7647058823529411,519.230769230769,246.24999999999963,2.10855134713003,1645.0000000000002,-700.0,-0.0008146348151076998,10.529411764705882,2,13,4,中芯港股(00981),20,2.5,5,640
11,6037.999999999998,0.7272727272727273,900.4999999999999,388.6666666666665,2.316895368782162,2365.0,-700.0,-0.0011219566924716706,22.363636363636363,2,8,3,中芯港股(00981),20,2.5,10,640
7,8099.999999999999,1.0,1157.142857142857,0.0,inf,2699.999999999999,0.0,0.0,43.142857142857146,0,7,0,中芯港股(00981),20,2.5,15,640
17,5765.0,0.7647058823529411,519.230769230769,246.24999999999963,2.10855134713003,1645.0000000000002,-700.0,-0.0008146348151076998,10.529411764705882,2,13,4,中芯港股(00981),20,3.0,5,640
11,6037.999999999998,0.7272727272727273,900.4999999999999,388.6666666666665,2.316895368782162,2365.0,-700.0,-0.0011219566924716706,22.363636363636363,2,8,3,中芯港股(00981),20,3.0,10,640
7,8099.999999999999,1.0,1157.142857142857,0.0,inf,2699.999999999999,0.0,0.0,43.142857142857146,0,7,0,中芯港股(00981),20,3.0,15,640
16,4228.011919197529,0.625,497.5999999999998,124.66468013374485,3.991507453964958,1325.0,-460.9880808024698,-0.0005088686429047716,9.8125,2,10,6,中芯港股(00981),30,1.5,5,640
10,4700.81376900089,0.6,970.1666666666664,280.0465577497771,3.464304915804446,2070.0,-492.18623099910843,-0.00076798229591129,22.4,2,6,4,中芯港股(00981),30,1.5,10,640
8,5936.81376900089,0.625,1325.3999999999996,230.06207699970287,5.761053787242438,2699.999999999999,-492.18623099910843,-0.0004895475695989699,34.5,2,5,3,中芯港股(00981),30,1.5,15,640
16,4534.0,0.625,497.5999999999998,73.66666666666649,6.754751131221733,1325.0,-154.99999999999972,-0.00020414971643106417,9.875,2,10,6,中芯港股(00981),30,2.0,5,640
10,4806.999999999999,0.6,970.1666666666664,253.49999999999983,3.8270874424720596,2070.0,-429.9999999999997,-0.0006365321727230042,22.5,2,6,4,中芯港股(00981),30,2.0,10,640
8,6042.999999999999,0.625,1325.3999999999996,194.66666666666654,6.808561643835619,2699.999999999999,-359.99999999999943,-0.0003580792628341567,34.625,2,5,3,中芯港股(00981),30,2.0,15,640
16,4534.0,0.625,497.5999999999998,73.66666666666649,6.754751131221733,1325.0,-154.99999999999972,-0.00020414971643106417,9.875,2,10,6,中芯港股(00981),30,2.5,5,640
10,4806.999999999999,0.6,970.1666666666664,253.49999999999983,3.8270874424720596,2070.0,-429.9999999999997,-0.0006365321727230042,22.5,2,6,4,中芯港股(00981),30,2.5,10,640
7,6168.999999999999,0.7142857142857143,1328.5999999999997,236.99999999999974,5.605907172995785,2699.999999999999,-359.99999999999943,-0.00035803439119235305,40.42857142857143,1,5,2,中芯港股(00981),30,2.5,15,640
16,4534.0,0.625,497.5999999999998,73.66666666666649,6.754751131221733,1325.0,-154.99999999999972,-0.00020414971643106417,9.875,2,10,6,中芯港股(00981),30,3.0,5,640
10,4806.999999999999,0.6,970.1666666666664,253.49999999999983,3.8270874424720596,2070.0,-429.9999999999997,-0.0006365321727230042,22.5,2,6,4,中芯港股(00981),30,3.0,10,640
7,6168.999999999999,0.7142857142857143,1328.5999999999997,236.99999999999974,5.605907172995785,2699.999999999999,-359.99999999999943,-0.00035803439119235305,40.42857142857143,1,5,2,中芯港股(00981),30,3.0,15,640
14,4176.011919197531,0.6428571428571429,541.7777777777778,139.99761616049378,3.869907164395441,1325.0,-460.9880808024698,-0.0005089380782233862,9.428571428571429,2,9,5,中芯港股(00981),40,1.5,5,640
9,4293.813769000891,0.6666666666666666,894.3333333333331,357.39541033303607,2.5023637894508934,2070.0,-492.18623099910843,-0.0006837796408284999,20.77777777777778,1,6,3,中芯港股(00981),40,1.5,10,640
7,5529.813769000892,0.7142857142857143,1234.4,321.0931154995542,3.844367694023991,2159.9999999999995,-492.18623099910843,-0.0004897872530337491,34.142857142857146,1,5,2,中芯港股(00981),40,1.5,15,640
14,4482.000000000001,0.6428571428571429,541.7777777777778,78.79999999999974,6.875352509870299,1325.0,-154.99999999999972,-0.00020417757273701484,9.5,2,9,5,中芯港股(00981),40,2.0,5,640
9,4426.0,0.6666666666666666,894.3333333333331,313.33333333333303,2.854255319148938,2070.0,-429.9999999999997,-0.0005522486969915861,20.77777777777778,1,6,3,中芯港股(00981),40,2.0,10,640
7,5662.000000000001,0.7142857142857143,1234.4,254.99999999999972,4.840784313725496,2159.9999999999995,-359.99999999999943,-0.00035824531444982386,34.142857142857146,1,5,2,中芯港股(00981),40,2.0,15,640
14,4482.000000000001,0.6428571428571429,541.7777777777778,78.79999999999974,6.875352509870299,1325.0,-154.99999999999972,-0.00020417757273701484,9.5,2,9,5,中芯港股(00981),40,2.5,5,640
9,4426.0,0.6666666666666666,894.3333333333331,313.33333333333303,2.854255319148938,2070.0,-429.9999999999997,-0.0005522486969915861,20.77777777777778,1,6,3,中芯港股(00981),40,2.5,10,640
7,5662.000000000001,0.7142857142857143,1234.4,254.99999999999972,4.840784313725496,2159.9999999999995,-359.99999999999943,-0.00035824531444982386,34.142857142857146,1,5,2,中芯港股(00981),40,2.5,15,640
14,4482.000000000001,0.6428571428571429,541.7777777777778,78.79999999999974,6.875352509870299,1325.0,-154.99999999999972,-0.00020417757273701484,9.5,2,9,5,中芯港股(00981),40,3.0,5,640
9,4426.0,0.6666666666666666,894.3333333333331,313.33333333333303,2.854255319148938,2070.0,-429.9999999999997,-0.0005522486969915861,20.77777777777778,1,6,3,中芯港股(00981),40,3.0,10,640
7,5662.000000000001,0.7142857142857143,1234.4,254.99999999999972,4.840784313725496,2159.9999999999995,-359.99999999999943,-0.00035824531444982386,34.142857142857146,1,5,2,中芯港股(00981),40,3.0,15,640
10,4047.0,0.8,524.6249999999999,74.99999999999946,6.995000000000049,1325.0,-119.99999999999886,-0.00011950191601405253,11.3,1,8,2,中芯港股(00981),55,1.5,5,640
7,4026.9999999999986,0.5714285714285714,1204.2499999999995,263.3333333333332,4.573101265822785,2049.999999999999,-429.9999999999997,-0.0007563784599338363,20.714285714285715,2,4,3,中芯港股(00981),55,1.5,10,640
6,4123.434113132936,0.6666666666666666,1204.0,346.28294343353207,3.476925510860757,2159.9999999999995,-654.5658868670643,-0.0006515012251041743,32.333333333333336,1,4,2,中芯港股(00981),55,1.5,15,640
10,4047.0,0.8,524.6249999999999,74.99999999999946,6.995000000000049,1325.0,-119.99999999999886,-0.00011950191601405253,11.3,1,8,2,中芯港股(00981),55,2.0,5,640
7,4026.9999999999986,0.5714285714285714,1204.2499999999995,263.3333333333332,4.573101265822785,2049.999999999999,-429.9999999999997,-0.0007563784599338363,20.714285714285715,2,4,3,中芯港股(00981),55,2.0,10,640
5,5262.999999999999,0.8,1325.2499999999998,37.9999999999999,34.875000000000085,2159.9999999999995,-37.9999999999999,-3.79999620000379e-05,39.4,1,4,1,中芯港股(00981),55,2.0,15,640
10,4047.0,0.8,524.6249999999999,74.99999999999946,6.995000000000049,1325.0,-119.99999999999886,-0.00011950191601405253,11.3,1,8,2,中芯港股(00981),55,2.5,5,640
7,4026.9999999999986,0.5714285714285714,1204.2499999999995,263.3333333333332,4.573101265822785,2049.999999999999,-429.9999999999997,-0.0007563784599338363,20.714285714285715,2,4,3,中芯港股(00981),55,2.5,10,640
5,5262.999999999999,0.8,1325.2499999999998,37.9999999999999,34.875000000000085,2159.9999999999995,-37.9999999999999,-3.79999620000379e-05,39.4,1,4,1,中芯港股(00981),55,2.5,15,640
10,4047.0,0.8,524.6249999999999,74.99999999999946,6.995000000000049,1325.0,-119.99999999999886,-0.00011950191601405253,11.3,1,8,2,中芯港股(00981),55,3.0,5,640
7,4026.9999999999986,0.5714285714285714,1204.2499999999995,263.3333333333332,4.573101265822785,2049.999999999999,-429.9999999999997,-0.0007563784599338363,20.714285714285715,2,4,3,中芯港股(00981),55,3.0,10,640
5,5262.999999999999,0.8,1325.2499999999998,37.9999999999999,34.875000000000085,2159.9999999999995,-37.9999999999999,-3.79999620000379e-05,39.4,1,4,1,中芯港股(00981),55,3.0,15,640
